redhat jgroups	Product redhat jgroups
CVE-2020-5258	affected versions dojo ( NPM package ) , deepCopy method vulnerable Prototype Pollution . Prototype Pollution refers ability inject properties existing JavaScript language construct prototypes , objects . attacker manipulates attributes overwrite , pollute , JavaScript application object prototype base object injecting values . patched versions 1.12.8 , 1.13.7 , 1.14.6 , 1.15.3 1.16.2
CVE-2020-2098	cross-site request forgery vulnerability Jenkins Sounds Plugin 0.5 earlier allows attacker execute arbitrary OS commands OS user account running Jenkins .
CVE-2018-12691	Time-of-check time-of-use ( TOCTOU ) race condition org.onosproject.acl ( aka access control application ) ONOS v1.13 earlier allows attackers bypass network access control via data plane packet injection .
CVE-2019-12401	Solr versions 1.3.0 1.4.1 , 3.1.0 3.6.2 4.0.0 4.10.4 vulnerable XML resource consumption attack ( a.k.a . Lol Bomb ) via ’ update handler . ? leveraging XML DOCTYPE ENTITY type elements , attacker create pattern expand server parses XML causing OOMs .
CVE-2018-1273	Spring Data Commons , versions prior 1.13 1.13.10 , 2.0 2.0.5 , older unsupported versions , contain property binder vulnerability caused improper neutralization special elements . unauthenticated remote malicious user ( attacker ) supply specially crafted request parameters Spring Data REST backed HTTP resources using Spring Data 's projection-based request payload binding hat lead remote code execution attack .
CVE-2014-3661	Jenkins 1.583 LTS 1.565.3 allows remote attackers cause denial service ( thread consumption ) via vectors related CLI handshake .
CVE-2019-17598	issue discovered Lightbend Play Framework 2.5.x 2.6.23 . configured make requests using authenticated HTTP proxy , play-ws may sometimes , typically high load , connecting target host using https , expose proxy credentials target host .
redhat jboss_web_server	Product redhat jboss_web_server
redhat integration_camel_k	Product redhat integration_camel_k
redhat integration_camel_quarkus	Product redhat integration_camel_quarkus
redhat jboss_a-mq_streaming	Product redhat jboss_a-mq_streaming
oracle fusion_middleware_common_libraries_and_tools	Product oracle fusion_middleware_common_libraries_and_tools
oracle timesten_grid	Product oracle timesten_grid
CVE-2021-4104	JMSAppender Log4j 1.2 vulnerable deserialization untrusted data attacker write access Log4j configuration . attacker provide TopicBindingName TopicConnectionFactoryBindingName configurations causing JMSAppender perform JNDI requests result remote code execution similar fashion CVE-2021-44228 . Note issue affects Log4j 1.2 specifically configured use JMSAppender , default . Apache Log4j 1.2 reached end life August 2015 . Users upgrade Log4j 2 addresses numerous issues previous versions .
jenkins global_post_script	Product jenkins global_post_script
CVE-2019-10474	missing permission check Jenkins Global Post Script Plugin allowed users Overall/Read access list scripts available plugin stored Jenkins master file system .
CVE-2017-15696	Apache Geode cluster v1.4.0 operating secure mode , Geode configuration service properly authorize configuration requests . allows unprivileged user gains access Geode locator extract configuration data previously deployed application code .
CVE-2020-2294	Jenkins Maven Cascade Release Plugin 1.3.2 earlier perform permission checks several HTTP endpoints , allowing attackers Overall/Read permission start cascade builds layout builds , reconfigure plugin .
CVE-2020-14389	found Keycloak version 12.0.0 would permit user view-profile role manage resources new account console , allowing access modification data user intended .
CVE-2020-15232	mapfish-print version 3.24 , user XML External Entity ( XXE ) attack provided SDL style .
ratpack ratpack	Product ratpack ratpack
CVE-2019-10770	versions io.ratpack : ratpack-core 0.9.10 inclusive 1.7.6 vulnerable Cross-site Scripting ( XSS ) . affects development mode error handler exception message contains untrusted data . Note production mode error handler vulnerable - utilized production would require users disable development mode .
CVE-2015-7537	Cross-site request forgery ( CSRF ) vulnerability Jenkins 1.640 LTS 1.625.2 allows remote attackers hijack authentication administrators requests unspecified impact via vectors related HTTP GET method .
CVE-2018-1000185	server-side request forgery vulnerability exists Jenkins GitHub Branch Source Plugin 2.3.4 older Endpoint.java allows attackers Overall/Read access cause Jenkins send GET request specified URL .
CVE-2018-1999035	man middle vulnerability exists Jenkins Inedo BuildMaster Plugin 1.3 earlier BuildMasterConfiguration.java , BuildMasterConfig.java , BuildMasterApi.java allows attackers impersonate service Jenkins connects .
CVE-2022-23107	Jenkins Warnings Next Generation Plugin 9.10.2 earlier restrict name file configuring custom ID , allowing attackers Item/Configure permission write read specific files hard-coded suffix Jenkins controller file system .
CVE-2020-9480	Apache Spark 2.4.5 earlier , standalone resource manager 's master may configured require authentication ( spark.authenticate ) via shared secret . enabled , however , specially-crafted RPC master succeed starting application 's resources Spark cluster , even without shared key . leveraged execute shell commands host machine . affect Spark clusters using resource managers ( YARN , Mesos , etc ) .
CVE-2017-7656	Eclipse Jetty , versions 9.2.x older , 9.3.x ( configurations ) , 9.4.x ( non-default configuration RFC2616 compliance enabled ) , HTTP/0.9 handled poorly . HTTP/1 style request line ( i.e . method space URI space version ) declares version HTTP/0.9 accepted treated 0.9 request . deployed behind intermediary also accepted passed 0.9 version ( act ) , response sent could interpreted intermediary HTTP/1 headers . could used poison cache server allowed origin client generate arbitrary content response .
frederico_caldeira_knabben fckeditor.java	Product frederico_caldeira_knabben fckeditor.java
CVE-2009-4875	FCKeditor.Java 2.4 allows remote attackers cause denial service ( infinite loop ) via malformed request parameter contains `` ctrl '' characters .
CVE-2018-1334	Apache Spark 1.0.0 2.1.2 , 2.2.0 2.2.1 , 2.3.0 , using PySpark SparkR , 's possible different local user connect Spark application impersonate user running Spark application .
jenkins trac_publisher	Product jenkins trac_publisher
CVE-2019-1003067	Jenkins Trac Publisher Plugin stores credentials unencrypted job config.xml files Jenkins master viewed users Extended Read permission , access master file system .
CVE-2019-0224	Apache JSPWiki 2.9.0 2.11.0.M2 , carefully crafted URL could execute javascript another user 's session . information could saved server jspwiki database , would attacker able execute js someone else 's browser ; browser .
CVE-2019-17555	AsyncResponseWrapperImpl class Apache Olingo versions 4.0.0 4.6.0 reads Retry-After header passes Thread.sleep ( ) method without check . malicious server returns huge value header , help implement DoS attack .
CVE-2020-2233	missing permission check Jenkins Pipeline Maven Integration Plugin 3.8.2 earlier allows users Overall/Read access enumerate credentials ID credentials stored Jenkins .
CVE-2017-16006	Remarkable markdown parser . versions 1.6.2 lower , remarkable allows use ` data : ` URIs links therefore execute javascript .
jenkins gogs	Product jenkins gogs
CVE-2019-10348	Jenkins Gogs Plugin stored credentials unencrypted job config.xml files Jenkins master viewed users Extended Read permission , access master file system .
CVE-2015-2913	server/network/protocol/http/OHttpSessionManager.java Studio component OrientDB Server Community Edition 2.0.15 2.1.x 2.1.1 improperly relies java.util.Random class generation random Session ID values , makes easier remote attackers predict value determining internal state PRNG class .
CVE-2016-3088	Fileserver web application Apache ActiveMQ 5.x 5.14.0 allows remote attackers upload execute arbitrary files via HTTP PUT followed HTTP MOVE request .
apache commons-httpclient	Product apache commons-httpclient
CVE-2012-6153	http/conn/ssl/AbstractVerifier.java Apache Commons HttpClient 4.2.3 properly verify server hostname matches domain name subject 's Common Name ( CN ) subjectAltName field X.509 certificate , allows man-in-the-middle attackers spoof SSL servers via certificate subject specifies common name field CN field . NOTE : issue exists incomplete fix CVE-2012-5783 .
jenkins buildgraph-view	Product jenkins buildgraph-view
CVE-2019-16562	Jenkins buildgraph-view Plugin 1.8 earlier escape description builds shown view , resulting stored XSS vulnerability exploitable users able change build descriptions .
CVE-2020-1959	Server-Side Template Injection identified Apache Syncope prior 2.1.6 enabling attackers inject arbitrary Java EL expressions , leading unauthenticated Remote Code Execution ( RCE ) vulnerability . Apache Syncope uses Java Bean Validation ( JSR 380 ) custom constraint validators . building custom constraint violation error messages , support different types interpolation , including Java EL expressions . Therefore , attacker inject arbitrary data error message template passed , able run arbitrary Java code .
CVE-2019-10077	carefully crafted InterWiki link could trigger XSS vulnerability Apache JSPWiki 2.9.0 2.11.0.M3 , could lead session hijacking .
CVE-2018-12544	version 3.5.Beta1 3.5.3 Eclipse Vert.x , OpenAPI XML type validator creates XML parsers without taking appropriate defense XML attacks . mechanism exclusively developer uses Eclipse Vert.x OpenAPI XML type validator validate provided schema .
CVE-2017-15695	Apache Geode server versions 1.0.0 1.4.0 configured security manager , user DATA : WRITE privileges allowed deploy code invoking internal Geode function . allows remote code execution . Code deployment restricted users DATA : MANAGE privilege .
CVE-2017-2607	jenkins versions 2.44 , 2.32.2 vulnerable persisted cross-site scripting vulnerability console notes ( SECURITY-382 ) . Jenkins allows plugins annotate build logs , adding new content changing presentation existing content build running . Malicious Jenkins users , users SCM access , could configure jobs modify build scripts print serialized console notes perform cross-site scripting attacks Jenkins users viewing build logs .
CVE-2022-23561	Tensorflow Open Source Machine Learning Framework . attacker craft TFLite model would cause write outside bounds array TFLite . fact , attacker override linked list used memory allocator . leveraged arbitrary write primitive certain conditions . fix included TensorFlow 2.8.0 . also cherrypick commit TensorFlow 2.7.1 , TensorFlow 2.6.3 , TensorFlow 2.5.3 , also affected still supported range .
CWE-672	Operation Resource Expiration Release
CVE-2019-17638	Eclipse Jetty , versions 9.4.27.v20200227 9.4.29.v20200521 , case large response headers , Jetty throws exception produce HTTP 431 error . happens , ByteBuffer containing HTTP response headers released back ByteBufferPool twice . double release , two threads acquire ByteBuffer pool thread1 use ByteBuffer write response1 data , thread2 fills ByteBuffer data . Thread1 proceeds write buffer contains different data . results client1 , issued request1 seeing data another request response could contain sensitive data belonging client2 ( HTTP session ids , authentication credentials , etc. ) . Jetty version upgraded , vulnerability significantly reduced configuring responseHeaderSize significantly larger requestHeaderSize ( 12KB responseHeaderSize 8KB requestHeaderSize ) .
CVE-2017-4972	issue discovered Cloud Foundry Foundation cf-release versions prior v257 ; UAA release 2.x versions prior v2.7.4.14 , 3.6.x versions prior v3.6.8 , 3.9.x versions prior v3.9.10 , versions prior v3.15.0 ; UAA bosh release ( uaa-release ) 13.x versions prior v13.12 , 24.x versions prior v24.7 , versions prior v30 . attacker use blind SQL injection attack query contents UAA database .
